run,timestep,reward,engagement,dropout
1,123,0.934810425376724,1.0,
1,124,0.995197583810566,1.0,
1,125,0.9433677105901902,1.0,
1,126,0.9737564788761677,1.0,
1,127,0.9848028521846367,1.0,
1,128,0.9235022633645747,1.0,
1,129,0.9082695994020686,1.0,
1,130,0.9596779482355018,1.0,
1,131,0.8989933932802521,1.0,
1,132,0.9147490140429115,1.0,
1,133,0.9377194661487404,1.0,
1,134,0.9420574107376062,1.0,
1,135,0.8770345826555824,1.0,
1,136,0.9131277761504586,1.0,
1,137,0.8603336557338114,1.0,
1,138,0.8756635929848541,1.0,
1,139,0.936615684904382,1.0,
1,140,0.8655704815531571,1.0,
1,141,0.9070670781233691,1.0,
1,142,0.8742204524944767,1.0,
1,143,0.8886661021309239,1.0,
1,144,0.9736787716556771,1.0,
1,145,0.9095074456558101,1.0,
1,146,0.9031940526392098,1.0,
1,147,0.9236317871536568,1.0,
1,148,0.8723405997011068,1.0,
1,149,0.8402567946303952,1.0,
1,150,0.8654271467216686,1.0,
1,151,0.8664378202775519,1.0,
1,152,0.8514018448395249,1.0,
1,153,0.8457149037631574,1.0,
1,154,0.9000275482527482,1.0,
1,155,0.8728204418395472,1.0,
1,156,0.8373594902483306,1.0,
1,157,0.8631766756380408,1.0,
1,158,0.9289785025912737,1.0,
1,159,0.8866503831219267,1.0,
1,160,0.8613230990927052,1.0,
1,161,0.8274896842199424,1.0,
1,162,0.7923947707986346,1.0,
1,163,0.8125914352383719,1.0,
1,164,0.08589443474884965,1.0,
1,165,0.8746165778285735,1.0,
1,166,0.8599431217815369,1.0,
1,167,0.8277580082461233,1.0,
1,168,0.8423005865482259,1.0,
1,169,0.8759495919254,1.0,
1,170,0.8885159060448445,1.0,
1,171,0.8738095947278557,1.0,
1,172,0.8096447907064742,1.0,
1,173,0.8611675759710867,1.0,
1,174,0.9411618815942612,1.0,
1,175,0.9028573803116791,1.0,
1,176,0.8557546547790029,1.0,
1,177,0.8735133591005827,1.0,
1,178,0.9454367369055108,1.0,
1,179,0.8795823739575274,1.0,
1,180,0.8700996945435581,1.0,
1,181,0.8977864622769905,1.0,
1,182,0.8798286629249884,1.0,
1,183,0.8708304220517129,1.0,
1,184,0.8950775392255194,1.0,
1,185,0.8619831692027011,1.0,
1,186,0.8098501015455848,1.0,
1,187,0.837184464359099,1.0,
1,188,0.9200929997825177,1.0,
1,189,0.8174611904715902,1.0,
1,190,0.8530016181570854,1.0,
1,191,0.8729282862049036,1.0,
1,192,0.7905654512236635,1.0,
1,193,0.8082355005306173,1.0,
1,194,0.9445292471661737,1.0,
1,195,0.7860956714801666,1.0,
1,196,0.8605778403698597,1.0,
1,197,0.8023846594652736,1.0,
1,198,0.8166095658663345,1.0,
1,199,0.8074425498783906,1.0,199.0
2,0,0.994529455533732,1.0,
2,1,0.5356863031288355,1.0,
2,2,0.36813035214208234,1.0,
2,3,0.3213427258566287,1.0,
2,4,0.9835873038689331,1.0,
2,5,0.6783605955970041,1.0,
